scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,ood_case
S5,5,RFOTO-ABC,0.3174023707775091,0.8814367194803109,1.9338215966321424,0.08735074398974116,0.7066666666666667,0.29333333333333333,0.11595791968848815,0.9985882293322277,0.0014117706677722157,1.0192101079195282,0.9766918215616895,0.5914402342344092,0.33572287511580534,0.15448111363231923,0.7266666666666667,1.076510600047186,350,1,0.7667401245234415,0.6308942108997769,0.0014117706677722157,0.10921850844952471,0.023308178438310456,strong_server_heterogeneity
S5,5,Standard-ABC,0.7229671079805116,1.6623165727866982,4.094038496184015,0.18238214092806396,0.30666666666666664,0.6933333333333334,0.7099597812938436,0.996483024222479,0.0035169757775210765,1.0995441002612147,0.881086898089714,0.3220331270920824,0.14566226622056253,0.367371517665622,0.2866666666666667,1.0414764999877661,350,1,1.5448264047440405,0.9641232553924025,0.0035169757775210765,0.694406632174376,0.11891310191028603,strong_server_heterogeneity
S5,5,Delay-Greedy,0.38753331440449384,1.0075327308407573,1.9929601379651818,0.1000774620693777,0.58,0.42,0.1881588484286783,0.9968539138914093,0.0031460861085907035,1.0288149598877805,0.9659783460556086,0.5545895375677536,0.19136795817134544,0.18766963780656193,0.9466666666666667,0.007877500029280782,1,1,0.8620466351547873,0.845256402415361,0.0031460861085907035,0.158002919760464,0.03402165394439138,strong_server_heterogeneity
S5,6,RFOTO-ABC,0.32363190702411654,0.7217897164897448,1.58152196296803,0.07882464097604003,0.7533333333333333,0.24666666666666667,0.10599150984941524,0.9993770616938923,0.0006229383061077357,1.0145209663842383,0.9781142921753764,0.6004325313138715,0.3757007037410405,0.1495841218157319,0.66,1.067908100085333,350,1,0.7181925075808646,0.7769634637098778,0.0006229383061077357,0.09652726695001447,0.021885707824623624,strong_server_heterogeneity
S5,6,Standard-ABC,0.6965377817847822,1.3775022351349981,3.746281473620714,0.14801614335799415,0.35333333333333333,0.6466666666666666,0.585624129620125,0.9972181796554037,0.002781820344596236,1.1411439244947645,0.896429784572957,0.3366539513269708,0.24321350329729735,0.33990636790268114,0.22,0.9643602999858558,350,1,1.4673073074939782,1.1087725141370408,0.002781820344596236,0.5892127256310236,0.10357021542704303,strong_server_heterogeneity
S5,6,Delay-Greedy,0.3730989095143868,0.8453117794307862,1.842247188001154,0.08157682176399833,0.6133333333333333,0.38666666666666666,0.15986412973674674,0.9981579365382144,0.001842063461785545,1.025402033494456,0.9701690385760988,0.5752027161391111,0.40459273384996897,0.17535167547828223,0.9133333333333333,0.005885099992156029,1,1,0.7935279039128622,0.9316815951505544,0.001842063461785545,0.1204865494305833,0.02983096142390118,strong_server_heterogeneity
S5,7,RFOTO-ABC,0.3583672812565639,0.8868004168901635,1.883208225841115,0.10818472445132786,0.6066666666666667,0.3933333333333333,0.1498821752281608,0.9982836518074817,0.001716348192518183,1.022775421909118,0.973729709153167,0.5500853514543934,0.22839591781485397,0.16425296960009794,0.6666666666666666,1.10731830005534,350,1,0.7845632649450964,0.8509178103450445,0.001716348192518183,0.1212199208120184,0.026270290846832967,strong_server_heterogeneity
S5,7,Standard-ABC,0.6974900782197649,1.5748472209972748,4.239949104683881,0.1715397747452297,0.30666666666666664,0.6933333333333334,0.6548898645308863,0.9991062462059411,0.0008937537940588647,1.0883586949813435,0.8897555511813782,0.2927858380813864,0.2147520773486884,0.3520002825804445,0.16666666666666666,1.1142179000889882,350,1,1.518974835801458,0.9257716652163616,0.0008937537940588647,0.648660805621365,0.11024444881862183,strong_server_heterogeneity
S5,7,Delay-Greedy,0.42665748952259064,1.023391763722683,2.42290964443738,0.11668369634436118,0.5466666666666666,0.4533333333333333,0.22559232214145666,0.997910196523103,0.0020898034768971328,1.021097289853835,0.9602058816170406,0.5195425304403967,0.22839591781485397,0.20357632159474948,0.92,0.006330200005322695,1,1,0.8780000196454818,1.0526682167791648,0.0020898034768971328,0.17148069456608872,0.03979411838295943,strong_server_heterogeneity
S5,8,RFOTO-ABC,0.344653244513732,0.831960703996772,1.833030144165469,0.08706411705604085,0.64,0.36,0.1530142900598629,0.9996552279113492,0.00034477208865074514,1.0127462721501492,0.9703582563658665,0.5263947831088307,0.29441210367722265,0.17477761982340834,0.64,1.0478299000533298,350,1,0.7955049491175213,0.7564217401914414,0.00034477208865074514,0.11119412097114142,0.02964174363413352,strong_server_heterogeneity
