scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,additional_blockage_probability
S4,10,RFOTO-ABC-R,0.27106965422935214,0.6203094530308042,1.2652085776808861,0.08299810195476677,0.92,0.08,0.059269184202022845,0.9974313504714357,0.002568649528564243,1.0254945397308601,0.9880156434622942,0.8711391008972473,0.2659653397143386,0.11013502380466993,0.83,0.7904120999155566,350,1,0.6105310160488727,0.5838880070498128,0.002568649528564243,0.11416926309317331,0.011984356537705798,0.0
S4,10,Standard-ABC,0.7018634325090182,1.6686113062376018,5.024142601716381,0.17528769313824907,0.37,0.63,0.6934808857589225,0.9967193867531374,0.0032806132468626414,1.1032846134637364,0.8785114177363574,0.29129261073412066,0.18980268093109226,0.3718724686915186,0.25,0.8905889000743628,350,1,1.4947711240710215,0.9060554143813675,0.0032806132468626414,0.6935317173805552,0.12148858226364256,0.0
S4,10,Max-SINR,0.2793004972011784,0.6350376494734067,1.5332930243135063,0.07582111561780583,0.9,0.1,0.09909461303059253,0.9969200997692272,0.0030799002307728227,1.0256347000357489,0.9795585833388674,0.7682090903869763,0.2659653397143386,0.14445756434540397,0.92,0.001511499984189868,1,1,0.637405209045144,0.5473891138181748,0.0030799002307728227,0.13663454128736688,0.02044141666113264,0.0
S4,11,RFOTO-ABC,0.29264961784191046,0.6566468324627934,1.6620594580168306,0.08634642116247958,0.87,0.13,0.09716493071984221,0.9983867509057848,0.0016132490942151912,1.018789563494789,0.97863236540775,0.5710411547388983,0.30921723321014444,0.14776393118214573,0.85,0.8554444999899715,350,1,0.6349116277359653,0.6860080905563656,0.0016132490942151912,0.10997080926713507,0.021367634592249996,0.0
S4,11,RFOTO-ABC-R,0.2939380191863084,0.66061154289886,1.7259062981246727,0.08736657492837162,0.88,0.12,0.09644729303725147,0.998442017686519,0.0015579823134810543,1.0171482326784897,0.9787555220880837,0.5710411547388983,0.30921723321014444,0.14732821215304942,0.85,0.7870568999787793,350,1,0.6333537900760853,0.6981382139261634,0.0015579823134810543,0.10952228571551584,0.021244477911916304,0.0
S4,11,Standard-ABC,0.7154567814724713,1.5718591342697235,4.495811002157539,0.17496067018051217,0.32,0.68,0.6757661775520241,0.9990446164904757,0.0009553835095242657,1.0531011630751743,0.8862749832496571,0.29135561706094326,0.2240962696672806,0.3582149931619466,0.22,0.960300900042057,350,1,1.5569061349696065,0.8788241419125044,0.0009553835095242657,0.7086271889149514,0.11372501675034286,0.0
S4,11,Max-SINR,0.3078681200747071,0.6700732249089928,1.7690750637551342,0.08684471319111715,0.87,0.13,0.1088987475564159,0.9984563953457629,0.001543604654237104,1.0155667104107304,0.9755366988487679,0.5582297171943725,0.30921723321014444,0.1583564382025494,0.93,0.0015715999761596322,1,1,0.7094860129047923,0.6351614313731201,0.001543604654237104,0.12497674415603506,0.024463301151232075,0.0
S4,12,RFOTO-ABC,0.27774332716604855,0.6318358133022727,1.3337167111567676,0.06906299237476386,0.89,0.11,0.09948391185133472,0.9974762179800116,0.0025237820199885963,1.0141336711999842,0.9797492542075434,0.6893848663947346,0.22304695821583487,0.14376826782305085,0.84,0.9576876000501215,350,1,0.6008246752958701,0.6516822387341827,0.0025237820199885963,0.10496981703634965,0.02025074579245656,0.0
S4,12,RFOTO-ABC-R,0.27684675594302655,0.6293915585463034,1.4102624988588426,0.06805605622161798,0.89,0.11,0.10020237413548928,0.9974173028855822,0.0025826971144177736,1.0130641156728255,0.979672042065718,0.6893848663947346,0.22304695821583487,0.14404776341547398,0.84,0.8733048000140116,350,1,0.6008984561245684,0.644673258478816,0.0025826971144177736,0.10542168010814497,0.020327957934281993,0.0
S4,12,Standard-ABC,0.653225928848863,1.3820154514237106,4.302920887974465,0.12960573417160354,0.37,0.63,0.5841724646531506,0.9974721189413083,0.002527881058691751,1.0885277989697975,0.9003190369744966,0.28380834520927267,0.22259760685230573,0.3327422093390368,0.28,0.9484991999343038,350,1,1.4330428205509018,0.8481379064971766,0.002527881058691751,0.6091472682839886,0.09968096302550344,0.0
S4,12,Max-SINR,0.29736383294898683,0.6261094457602957,1.654206892797325,0.0687342903577467,0.87,0.13,0.11849333161587333,0.9975944910079718,0.002405508992028158,1.0200791355809078,0.9750913414807069,0.5529236054036896,0.22304695821583487,0.15982787281654026,0.9,0.002496900036931038,1,1,0.6529186426139252,0.6694105760641055,0.002405508992028158,0.11802074123836027,0.024908658519293136,0.0
S4,13,RFOTO-ABC,0.2734464629050173,0.5721371514214312,1.807745972398626,0.0748091387789685,0.89,0.11,0.060633355647792424,0.9981820546621101,0.0018179453378897115,1.0230421749202099,0.9862558613733406,0.6437411354996666,0.4704506979659272,0.11804944913271459,0.83,0.8880021000513807,350,1,0.6332000435384108,0.5822386583690586,0.0018179453378897115,0.10154177361391584,0.013744138626659352,0.0
S4,13,RFOTO-ABC-R,0.27252360739345477,0.5710885881719243,1.807745972398626,0.07485828729881418,0.89,0.11,0.060330164613124945,0.9981475319782505,0.0018524680217495394,1.0230279845591097,0.9863083687349914,0.6437411354996666,0.4704506979659272,0.11782060220845514,0.83,0.8144804000621662,350,1,0.6337191024847909,0.5755454774733885,0.0018524680217495394,0.10135108742859036,0.013691631265008608,0.0
